Designator,Mid X,Mid Y,Layer,Rotation
C1,9.53,3.81,Top,180
C2,15.88,3.81,Top,0
C3,22.23,3.81,Top,180
C4,28.58,3.81,Top,0
C5,34.93,3.81,Top,180
C6,41.27,3.81,Top,0
C7,12.7,17.78,Top,90
C8,25.4,17.78,Top,90
C9,38.1,17.78,Top,90
IC1,12.7,11.43,Top,180
IC2,25.4,11.43,Top,180
IC3,38.1,11.43,Top,180
R1,13.97,17.78,Top,90
R10,15.88,5.08,Top,180
R11,26.67,17.78,Top,90
R12,27.94,17.78,Top,90
R13,21.59,17.78,Top,90
R14,22.23,6.35,Top,180
R15,22.23,5.08,Top,0
R16,24.13,17.78,Top,90
R17,22.86,17.78,Top,90
R18,29.21,17.78,Top,90
R19,28.58,6.35,Top,0
R2,15.24,17.78,Top,90
R20,28.58,5.08,Top,180
R21,39.37,17.78,Top,90
R22,40.64,17.78,Top,90
R23,34.29,17.78,Top,90
R24,34.93,6.35,Top,180
R25,34.93,5.08,Top,0
R26,36.83,17.78,Top,90
R27,35.56,17.78,Top,90
R28,41.91,17.78,Top,90
R29,41.27,6.35,Top,0
R3,8.89,17.78,Top,90
R30,41.27,5.08,Top,180
R4,9.53,6.35,Top,180
R5,9.53,5.08,Top,0
R6,11.43,17.78,Top,90
R7,10.16,17.78,Top,90
R8,16.51,17.78,Top,90
R9,15.88,6.35,Top,0
