Designator,Mid X,Mid Y,Layer,Rotation
C1,15.88,3.81,Top,180
C2,18.41,3.81,Top,180
C3,20.96,3.81,Top,180
C4,23.5,3.81,Top,180
C5,26.04,3.81,Top,180
C6,28.58,3.81,Top,180
C7,17.78,13.97,Top,90
C8,30.48,13.97,Top,90
C9,43.18,13.97,Top,90
IC1,12.7,11.43,Top,270
IC2,25.4,11.43,Top,270
IC3,38.1,11.43,Top,270
R1,15.88,5.08,Top,0
R10,23.5,5.08,Top,0
R11,30.48,8.89,Top,90
R12,30.48,11.43,Top,90
R13,26.04,5.08,Top,0
R14,33.02,10.16,Top,90
R15,33.02,12.7,Top,90
R16,28.58,5.08,Top,0
R17,43.18,8.89,Top,90
R18,43.18,11.43,Top,90
R2,7.62,10.16,Top,90
R3,7.62,12.7,Top,90
R4,18.41,5.08,Top,0
R5,17.78,8.89,Top,90
R6,17.78,11.43,Top,90
R7,20.96,5.08,Top,0
R8,20.32,10.16,Top,90
R9,20.32,12.7,Top,90
